-DOCSTART- -X- O O
A	O
successful	O
member	O
of	O
our	O
team	O
will	O
have	O
:	O
5	B-EXPERIENCE
+	I-EXPERIENCE
years	I-EXPERIENCE
of	O
industry	B-SKILLS
experience	O
developing	B-SKILLS
and	I-SKILLS
implementing	I-SKILLS
tools	I-SKILLS
and	O
applications	O
at	O
scale	O
.	O
BS	B-DIPLOMA
/	I-DIPLOMA
MS	I-DIPLOMA
in	O
Computer	B-DIPLOMA_MAJOR
Science	I-DIPLOMA_MAJOR
or	O
equivalent	O
industry	B-SKILLS
experience	O
.	O
Demonstrated	O
CS	B-SKILLS
fundamentals	I-SKILLS
with	O
a	O
deep	O
appreciation	O
for	O
the	O
differences	O
between	O
platforms	O
and	O
environments	O
.	O
Demonstrated	O
technical	O
design	O
,	O
problem	B-SKILLS
solving	I-SKILLS
and	O
debugging	O
skills	O
.	O
Unwavering	O
passion	O
to	O
understand	O
and	O
simplify	O
the	O
developer	O
experience	O
.	O
Fantastic	B-SKILLS
communication	I-SKILLS
skills	O
.	O
A	O
track	O
record	O
of	O
working	O
collaboratively	O
to	O
understand	O
customer	O
needs	O
and	O
create	B-SKILLS
solutions	I-SKILLS
that	O
positively	O
impact	O
our	O
customers	O
.	O
-DOCSTART- -X- O O
BA	B-DIPLOMA
/	O
BS	B-DIPLOMA
degree	O
7	B-EXPERIENCE
+	I-EXPERIENCE
years	I-EXPERIENCE
experience	O
in	O
brand	B-SKILLS
and/or	O
product	B-SKILLS
marketing	I-SKILLS
in	O
the	O
consumer	O
technology	O
sector	O
Experience	O
managing	O
the	O
marketing	O
communications	B-SKILLS
process	I-SKILLS
from	O
research	B-SKILLS
and	O
insight	B-SKILLS
to	O
execution	B-SKILLS
and	O
optimization	B-SKILLS
in	O
-	O
market	O
Experience	O
driving	B-SKILLS
initiatives	I-SKILLS
at	O
both	O
a	O
strategic	O
and	O
executional	O
level	O
Quantitative	O
analytical	O
experience	O
Demonstrated	O
experience	O
communicating	B-SKILLS
concepts	I-SKILLS
Experience	O
with	O
consumer	B-SKILLS
hardware	I-SKILLS
PREFERRED	O
MBA	B-DIPLOMA
Experience	O
and	O
exposure	O
to	O
AR	B-SKILLS
/	I-SKILLS
VR	I-SKILLS
/	O
Smart	B-SKILLS
Home	I-SKILLS
market	O
dynamics	O
and	O
realities	B-SKILLS
,	O
the	O
competitive	O
landscape	O
,	O
and	O
technology	B-SKILLS
trends	I-SKILLS
across	O
mobile	O
apps	O
,	O
augmented	O
reality	O
,	O
virtual	B-SKILLS
reality	I-SKILLS
,	O
artificial	B-SKILLS
intelligence	I-SKILLS
,	O
and	O
more	O
Experience	O
launching	O
category	B-SKILLS
-	I-SKILLS
redefining	I-SKILLS
consumer	B-SKILLS
hardware	I-SKILLS
products	O
Experience	O
with	O
Gaming	B-SKILLS
Startup	I-SKILLS
experience	O
Passionate	O
about	O
technology	O
,	O
internet	O
and	O
connectivity	B-SKILLS
trends	I-SKILLS
Experience	O
with	O
traditional	O
,	O
mass	B-SKILLS
media	I-SKILLS
campaign	I-SKILLS
development	I-SKILLS
,	O
like	O
television	O
and	O
out	O
of	O
home	O
,	O
to	O
drive	O
brand	O
awareness	O
and	O
customer	B-SKILLS
adoption	I-SKILLS
Sees	I-SKILLS
ambiguity	O
as	O
opportunity	O
Enjoys	O
working	O
closely	O
many	O
cross	O
-	O
functional	O
teams	O
Comfort	O
in	O
a	O
fast	O
-	O
paced	O
entrepreneurial	O
environment	O
-DOCSTART- -X- O O
MS	B-DIPLOMA
/	I-DIPLOMA
Ph	I-DIPLOMA
.	I-DIPLOMA
D.	I-DIPLOMA
in	O
CS	B-DIPLOMA_MAJOR
/	I-DIPLOMA_MAJOR
EE	I-DIPLOMA_MAJOR
or	O
related	O
areas	O
is	O
required	O
.	O
Strong	O
ability	O
and	O
effectiveness	O
working	O
in	O
a	O
significant	O
technical	O
problem	O
domain	O
,	O
in	O
the	O
term	O
of	O
plan	B-SKILLS
,	O
design	B-SKILLS
,	O
execution	B-SKILLS
,	O
continuous	O
release	O
and	O
service	B-SKILLS
operation	I-SKILLS
.	O
Strong	O
software	B-SKILLS
engineering	I-SKILLS
fundamentals	O
,	O
including	O
coding	B-SKILLS
,	O
problem	B-SKILLS
solving	I-SKILLS
and	O
data	B-SKILLS
analysis	I-SKILLS
skills	O
.	O
Background	O
in	O
machine	B-SKILLS
learning	I-SKILLS
/	I-SKILLS
deep	I-SKILLS
learning	O
(	O
strongly	O
preferred	O
)	O
.	O
Passionate	O
and	O
self	O
-	O
motivated	O
.	O
Ability	O
to	O
effectively	O
work	O
in	O
collaborative	B-SKILLS
multiple	I-SKILLS
project	I-SKILLS
team	O
environment	O
and	O
ship	O
production	O
features	O
in	O
a	O
fast	O
-	O
paced	O
environment	O
.	O
Good	O
communication	B-SKILLS
skills	O
,	O
both	O
verbal	B-SKILLS
and	O
written	B-SKILLS
.	O
Customer	B-SKILLS
/	I-SKILLS
end	I-SKILLS
result	B-SKILLS
/	I-SKILLS
Metrics	I-SKILLS
driven	O
in	O
design	B-SKILLS
and	O
development	B-SKILLS
.	O
Strong	O
ability	O
in	O
self	B-SKILLS
-	I-SKILLS
learning	I-SKILLS
,	O
entering	O
new	O
domain	O
,	O
managing	O
through	O
uncertainty	O
in	O
an	O
innovative	O
team	O
environment	O
-DOCSTART- -X- O O
1	B-EXPERIENCE
+	I-EXPERIENCE
years	I-EXPERIENCE
development	B-SKILLS
experience	O
on	O
Java	B-SKILLS
stack	I-SKILLS
AppConnect	B-SKILLS
/	O
API	B-SKILLS
's	O
experience	O
is	O
added	O
advantage	O
.	O
Compute	B-SKILLS
,	O
Network	B-SKILLS
and	O
Storage	B-SKILLS
Monitoring	I-SKILLS
Tools	I-SKILLS
(	O
Ex	O
:	O
Netcool	B-SKILLS
)	O
Application	B-SKILLS
Performance	I-SKILLS
Tools	I-SKILLS
(	O
IBM	B-SKILLS
APM	I-SKILLS
)	O
Cloud	B-SKILLS
operations	I-SKILLS
and	O
Automation	B-SKILLS
Tools	I-SKILLS
(	O
VmWare	B-SKILLS
,	O
ICAM	B-SKILLS
,	O
...	O
)	O
Proven	O
Record	O
of	O
developing	O
enterprise	O
class	O
products	O
and	O
applications	O
.	O
Preferred	O
Tech	B-SKILLS
and	O
Prof	B-SKILLS
Experience	O
None	O
EO	O
Statement	O
IBM	O
is	O
committed	O
to	O
creating	O
a	O
diverse	O
environment	O
and	O
is	O
proud	O
to	O
be	O
an	O
equal	O
opportunity	O
employer	O
.	O
All	O
qualified	O
applicants	O
will	O
receive	O
consideration	O
for	O
employment	O
without	O
regard	O
to	O
race	O
